"ID";"Type";"Name";"Documentation";"Specialization"
"id-454024792d6a407bab061f3a09b1b0c2";"Goal";"Mejorar la satisfacción del cliente";"";""
"id-60a67ea9489947368a1fe9d806d7ba4c";"Goal";"Mejorar la venta cruzada existosa";"";""
"id-6eefa6979e234d69b269766299e1dbb7";"Goal";"Reducción de costo de mantenimiento";"";""
"id-b591e44e6a684f2c85a9e8e88816ba9c";"Goal";"Reducción de costo de personal";"";""
"id-5204f01a814948919511915ca2d242a3";"Goal";"Reducción de costos";"";""
"id-d4785c42d30948a7a3344c35c8468bbb";"Outcome";"90% de interacción con el cliente online";"";""
"id-746f47eb98fc489b8467a3ebb6d1c547";"Outcome";"Información detallada del comportamiento del cliente";"";""
"id-9ff63ce7fc074af79f2f248de65256d1";"Outcome";"La mejor experiencia de cliente online";"";""
"id-a5e8e0fb1371480ab7fba1568d539001";"Outcome";"Margen de Rentabilidad >5% el proximo año";"";""
"id-9141c1d2081a47919fefc3ba9fa101e1";"Outcome";"Oferta de seguros atractiva";"";""
"id-172243d8cc9142d7b6c639b5bc1b2ffe";"Principle";"Sistema único de registro para cada elemento de datos";"";""
"id-ba635a0c3b814f8faf67d09da1b9afcc";"Principle";"Uso común de aplicaciones";"";""
"id-69c7fe16c4b34840bd7d9c95b3ec093e";"Requirement";"Aplicación de back office compartida para todos los productos";"";""
"id-06c7b30b74324a798b19e2e9974c9e5c";"Requirement";"Apoyo para la administración de politicas";"";""
"id-45b2f30be92d48d79a6d76e02adb1fb1";"Requirement";"Apoyo para las transacciones financieras";"";""
"id-c63463c9d1994378acba29a30a7d22fa";"Requirement";"Los datos de CRM deben mantenerse de forma centralizada";"";""
"id-09a83cc40f514d369fcf758ba912a8f2";"Requirement";"Objetivos Estrategicos";"";""
"id-5b0bbdbeb8814f39a5f769277aead32c";"Requirement";"Requerimiento de Solucion y Requerimientos de Transición";"";""
"id-c1f404d0393c451ca1d2086bb59cb857";"Requirement";"Requerimientos de Interesados";"";""
"id-abd289d448dc41ce9d4b4e3562a56295";"Requirement";"Requerimientos de Negocio";"";""
"id-da8f3522a87648c5a085831237974504";"Requirement";"Requerimientos Técnicos de Arquitectura";"";""
"id-cea8599b5c1c4728bd5c05519c96a1b3";"Stakeholder";"Clientes";"";""
"id-d1ab959fb10043b79d57681bfa1ded32";"Stakeholder";"Directivos";"";""
"id-a6f45c55789c4b0fa0702e54abfb8277";"Value";"Alta satisfacción del cliente";"";""
"id-9ec73d8aef3b44e293abd25f65104546";"Value";"Productos de seguros innovadores";"";""
"id-c97ab788b568498a9353093994106da7";"Value";"Productos ofrecidos y vendidos a los clientes adecuados";"";""
"id-801ccb342fab4858933fe1169d04660d";"Value";"Productos que cumplen con las expectativas del cliente";"";""
"id-a6673d7052544846ac70213f7429ebe6";"Location";"En Casa y Afuera";"";""
"id-a11e75494584478aad72360d2b78b750";"Location";"LegalmenteTuyo";"";""
"id-a2d21ae933d64ad8a8e26c912acf5210";"Location";"PRO FIT";"";""
"id-46c67d18b7414dd3a01e628337efd751";"Location";"Seguros Arqui";"";""
;"Capability";"Gestión Empresarial";;
;"Capability";"Gestión Estratégica";;
;"Capability";"Gestión Fiscal y Contable";;
;"Capability";"Gestión de Riesgos y Cumplimiento";;
;"Capability";"Gestión del Rendimiento";;
;"Capability";"Arquitectura Empresarial";;
;"Capability";"Gestión de Producto";;
;"Capability";"Definición de Producto";;
;"Capability";"Ingeniería de Producto";;
;"Capability";"Marketing";;
;"Capability";"Desarrollo de Mercado";;
;"Capability";"Gestión de Campañas";;
;"Capability";"Ventas y Distribución";;
;"Capability";"Gestión de canales de distribución";;
;"Capability";"Ejecución de ventas";;
;"Capability";"Gestión de clientes";;
;"Capability";"Gestión de relaciones con clientes";;
;"Capability";"Gestión de canales de servicio";;
;"Capability";"Gestión de datos de clientes";;
;"Capability";"Gestión de Activos";;
;"Capability";"Gestión de Estrategias de Inversión";;
;"Capability";"Gestión del Rendimiento de las Inversiones";;
;"Capability";"Gestión de la Cartera de Inversiones";;
;"Capability";"Mantenimiento del Inventario de Activos";;
;"Capability";"Gestión Financiera";;
;"Capability";"Gestión Bancaria";;
;"Capability";"Gestión de Cuentas";;
;"Capability";"Gestión del Flujo de Caja";;
;"Capability";"Gestión del Mercado Monetario";;
;"Capability";"Gestión de Pólizas y Siniestros";;
;"Capability";"Gestión del Ciclo de Vida de Contratos";;
;"Capability";"Liquidación de Siniestros";;
;"Capability";"Administración de Contratos";;
;"Capability";"Administración de Siniestros";;
;"Capability";"Soporte Empresarial";;
;"Capability";"Desarrollo Organizacional";;
;"Capability";"Gestión de RR.HH.";;
;"Capability";"Gestión de Procesos";;
;"Capability";"Gestión de Oficinas";;
;"Capability";"Gestión de Instalaciones";;
;"Capability";"Gestión de TI";;
